INSERT INTO operationrechargement (dateheuredebut,dateheurefin,idcontrole,idborne,nbkwheures) VALUES
(319,491,2021,1,1,10),
(320,491,2021,1,1,10),
(321,491,2021,1,1,10),
(322,491,null,null,null,null),
(323,491,null,null,null,null),
(324,491,null,null,null,null),
(603,491,2021,1,1,10),
(604,491,null,null,null,null),
(605,491,null,null,null,null),
(606,491,null,null,null,null),
(319,499,null,null,null,null),
(320,499,2021,1,1,10),
(321,499,null,null,null,null),
(322,499,2021,1,1,10),
(323,499,null,null,null,null),
(324,499,null,null,null,null),
(603,499,null,null,null,null),
(604,499,null,null,null,null),
(605,499,2021,1,1,10),
(606,499,null,null,null,null),
(319,621,null,null,null,null),
(320,621,null,null,null,null),
(321,621,null,null,null,null),
(322,621,2022,1,1,10),
(323,621,null,null,null,null),
(324,621,null,null,null,null),
(603,621,2022,1,1,10),
(604,621,2022,1,1,10),
(605,621,2022,1,1,10),
(606,621,2022,1,1,10),
(319,629,null,null,null,null),
(320,629,null,null,null,null),
(321,629,2022,1,1,10),
(322,629,null,null,null,null),
(323,629,null,null,null,null),
(324,629,2022,1,1,10),
(603,629,null,null,null,null),
(604,629,2022,1,1,10),
(605,629,null,null,null,null),
(606,629,null,null,null,null),
(319,751,2023,1,1,10),
(320,751,null,null,null,null),
(321,751,2023,1,1,10),
(322,751,2023,1,1,10),
(323,751,null,null,null,null),
(324,751,null,null,null,null),
(603,751,2023,1,1,10),
(604,751,2023,1,1,10),
(605,751,null,null,null,null),
(606,751,2023,1,1,10),
(319,759,2023,1,1,10),
(320,759,null,null,null,null),
(321,759,2023,1,1,10),
(322,759,null,null,null,null),
(323,759,2023,1,1,10),
(324,759,null,null,null,null),
(603,759,2023,1,1,10),
(604,759,2023,1,1,10),
(605,759,null,null,null,null),
(606,759,2023,1,1,10),
(337,112,null,null,null,null),
(338,112,2018,1,1,10),
(339,112,2018,1,1,10),
(340,112,null,null,null,null),
(341,112,null,null,null,null),
(342,112,2018,1,1,10),
(615,112,null,null,null,null),
(616,112,null,null,null,null),
(617,112,2018,1,1,10),
(618,112,2018,1,1,10),
(337,122,2018,1,1,10),
(338,122,2018,1,1,10),
(339,122,2018,1,1,10),
(340,122,null,null,null,null),
(341,122,null,null,null,null),
(342,122,2018,1,1,10),
(615,122,null,null,null,null),
(616,122,null,null,null,null),
(617,122,2018,1,1,10),
(618,122,2018,1,1,10),
(337,242,2019,1,1,10),
(338,242,null,null,null,null),
(339,242,2019,1,1,10),
(340,242,null,null,null,null),
(341,242,2019,1,1,10),
(342,242,2019,1,1,10),
(615,242,null,null,null,null),
(616,242,null,null,null,null),
(617,242,2019,1,1,10),
(618,242,2019,1,1,10),
(337,252,null,null,null,null),
(338,252,2019,1,1,10),
(339,252,null,null,null,null),
(340,252,2019,1,1,10),
(341,252,2019,1,1,10),
(342,252,2019,1,1,10),
(615,252,2019,1,1,10),
(616,252,2019,1,1,10),
(617,252,2019,1,1,10),
(618,252,2019,1,1,10),
(337,372,null,null,null,null),
(338,372,null,null,null,null),
(339,372,2020,1,1,10),
(340,372,null,null,null,null),
(341,372,null,null,null,null),
(342,372,null,null,null,null),
(615,372,null,null,null,null),
(616,372,null,null,null,null),
(617,372,2020,1,1,10),
(618,372,2020,1,1,10),
(337,382,2020,1,1,10),
(338,382,2020,1,1,10),
(339,382,null,null,null,null),
(340,382,2020,1,1,10),
(341,382,2020,1,1,10),
(342,382,2020,1,1,10),
(615,382,null,null,null,null),
(616,382,null,null,null,null),
(617,382,null,null,null,null),
(618,382,null,null,null,null),
(337,502,null,null,null,null),
(338,502,null,null,null,null),
(339,502,null,null,null,null),
(340,502,null,null,null,null),
(341,502,null,null,null,null),
(342,502,null,null,null,null),
(615,502,2021,1,1,10),
(616,502,2021,1,1,10),
(617,502,2021,1,1,10),
(618,502,null,null,null,null),
(337,512,2021,1,1,10),
(338,512,null,null,null,null),
(339,512,2021,1,1,10),
(340,512,null,null,null,null),
(341,512,2021,1,1,10),
(342,512,2021,1,1,10),
(615,512,null,null,null,null),
(616,512,2021,1,1,10),
(617,512,null,null,null,null),
(618,512,null,null,null,null),
(337,632,2022,1,1,10),
(338,632,null,null,null,null),
(339,632,null,null,null,null),
(340,632,2022,1,1,10),
(341,632,2022,1,1,10),
(342,632,null,null,null,null),
(615,632,2022,1,1,10),
(616,632,null,null,null,null),
(617,632,null,null,null,null),
(618,632,2022,1,1,10),
(337,642,null,null,null,null),
(338,642,null,null,null,null),
(339,642,2022,1,1,10),
(340,642,null,null,null,null),
(341,642,2022,1,1,10),
(342,642,null,null,null,null),
(615,642,null,null,null,null),
(616,642,2022,1,1,10),
(617,642,2022,1,1,10),
(618,642,null,null,null,null),
(337,762,null,null,null,null),
(338,762,2023,1,1,10),
(339,762,null,null,null,null),
(340,762,2023,1,1,10),
(341,762,2023,1,1,10),
(342,762,null,null,null,null),
(615,762,2023,1,1,10),
(616,762,2023,1,1,10),
(617,762,null,null,null,null),
(618,762,null,null,null,null),
(337,772,2023,1,1,10),
(338,772,2023,1,1,10),
(339,772,2023,1,1,10),
(340,772,null,null,null,null),
(341,772,2023,1,1,10),
(342,772,null,null,null,null),
(615,772,null,null,null,null),
(616,772,2023,1,1,10),
(617,772,null,null,null,null),
(618,772,null,null,null,null),
(355,115,2018,1,1,10),
(356,115,2018,1,1,10),
(357,115,null,null,null,null),
(358,115,null,null,null,null),
(359,115,null,null,null,null),
(360,115,null,null,null,null),
(627,115,2018,1,1,10),
(628,115,null,null,null,null),
(629,115,null,null,null,null),
(630,115,2018,1,1,10),
(355,125,null,null,null,null),
(356,125,null,null,null,null),
(357,125,2018,1,1,10),
(358,125,2018,1,1,10),
(359,125,null,null,null,null),
(360,125,2018,1,1,10),
(627,125,null,null,null,null),
(628,125,2018,1,1,10),
(629,125,null,null,null,null),
(630,125,2018,1,1,10),
(355,245,null,null,null,null),
(356,245,2019,1,1,10),
(357,245,null,null,null,null),
(358,245,null,null,null,null),
(359,245,2019,1,1,10),
(360,245,null,null,null,null),
(627,245,null,null,null,null),
(628,245,null,null,null,null),
(629,245,null,null,null,null),
(630,245,null,null,null,null),
(355,255,null,null,null,null),
(356,255,2019,1,1,10),
(357,255,null,null,null,null),
(358,255,null,null,null,null),
(359,255,2019,1,1,10),
(360,255,2019,1,1,10),
(627,255,null,null,null,null),
(628,255,2019,1,1,10),
(629,255,null,null,null,null),
(630,255,2019,1,1,10),
(355,375,null,null,null,null),
(356,375,2020,1,1,10),
(357,375,2020,1,1,10),
(358,375,null,null,null,null),
(359,375,2020,1,1,10),
(360,375,null,null,null,null),
(627,375,2020,1,1,10),
(628,375,null,null,null,null),
(629,375,2020,1,1,10),
(630,375,null,null,null,null),
(355,385,null,null,null,null),
(356,385,2020,1,1,10),
(357,385,2020,1,1,10),
(358,385,null,null,null,null),
(359,385,null,null,null,null),
(360,385,2020,1,1,10),
(627,385,2020,1,1,10),
(628,385,2020,1,1,10),
(629,385,2020,1,1,10),
(630,385,2020,1,1,10),
(355,505,2021,1,1,10),
(356,505,null,null,null,null),
(357,505,null,null,null,null),
(358,505,null,null,null,null),
(359,505,null,null,null,null),
(360,505,2021,1,1,10),
(627,505,null,null,null,null),
(628,505,2021,1,1,10),
(629,505,2021,1,1,10),
(630,505,null,null,null,null),
(355,515,2021,1,1,10),
(356,515,2021,1,1,10),
(357,515,2021,1,1,10),
(358,515,null,null,null,null),
(359,515,null,null,null,null),
(360,515,null,null,null,null),
(627,515,null,null,null,null),
(628,515,2021,1,1,10),
(629,515,2021,1,1,10),
(630,515,null,null,null,null),
(355,635,null,null,null,null),
(356,635,null,null,null,null),
(357,635,2022,1,1,10),
(358,635,2022,1,1,10),
(359,635,null,null,null,null),
(360,635,2022,1,1,10),
(627,635,2022,1,1,10),
(628,635,2022,1,1,10),
(629,635,null,null,null,null),
(630,635,2022,1,1,10),
(355,645,null,null,null,null),
(356,645,2022,1,1,10),
(357,645,null,null,null,null),
(358,645,null,null,null,null),
(359,645,2022,1,1,10),
(360,645,null,null,null,null),
(627,645,2022,1,1,10),
(628,645,2022,1,1,10),
(629,645,2022,1,1,10),
(630,645,null,null,null,null),
(355,765,null,null,null,null),
(356,765,2023,1,1,10),
(357,765,null,null,null,null),
(358,765,null,null,null,null),
(359,765,null,null,null,null),
(360,765,null,null,null,null),
(627,765,2023,1,1,10),
(628,765,2023,1,1,10),
(629,765,null,null,null,null),
(630,765,null,null,null,null),
(355,775,null,null,null,null),
(356,775,null,null,null,null),
(357,775,null,null,null,null),
(358,775,null,null,null,null),
(359,775,null,null,null,null),
(360,775,null,null,null,null),
(627,775,null,null,null,null),
(628,775,2023,1,1,10),
(629,775,2023,1,1,10),
(630,775,null,null,null,null),
(373,118,null,null,null,null),
(374,118,null,null,null,null),
(375,118,2018,1,1,10),
(376,118,null,null,null,null),
(377,118,null,null,null,null),
(378,118,2018,1,1,10),
(639,118,null,null,null,null),
(640,118,null,null,null,null),
(641,118,2018,1,1,10),
(642,118,2018,1,1,10),
(373,128,null,null,null,null),
(374,128,2018,1,1,10),
(375,128,null,null,null,null),
(376,128,2018,1,1,10),
(377,128,2018,1,1,10),
(378,128,null,null,null,null),
(639,128,null,null,null,null),
(640,128,2018,1,1,10),
(641,128,null,null,null,null),
(642,128,2018,1,1,10),
(373,248,2019,1,1,10),
(374,248,null,null,null,null),
(375,248,2019,1,1,10),
(376,248,null,null,null,null),
(377,248,null,null,null,null),
(378,248,null,null,null,null),
(639,248,null,null,null,null),
(640,248,null,null,null,null),
(641,248,2019,1,1,10),
(642,248,2019,1,1,10),
(373,258,null,null,null,null),
(374,258,2019,1,1,10),
(375,258,null,null,null,null),
(376,258,null,null,null,null),
(377,258,null,null,null,null),
(378,258,null,null,null,null),
(639,258,null,null,null,null),
(640,258,2019,1,1,10),
(641,258,null,null,null,null),
(642,258,2019,1,1,10),
(373,378,null,null,null,null),
(374,378,null,null,null,null),
(375,378,null,null,null,null),
(376,378,null,null,null,null),
(377,378,null,null,null,null),
(378,378,2020,1,1,10),
(639,378,null,null,null,null),
(640,378,null,null,null,null),
(641,378,null,null,null,null),
(642,378,null,null,null,null),
(373,388,2020,1,1,10),
(374,388,2020,1,1,10),
(375,388,null,null,null,null),
(376,388,null,null,null,null),
(377,388,null,null,null,null),
(378,388,2020,1,1,10),
(639,388,null,null,null,null),
(640,388,2020,1,1,10),
(641,388,2020,1,1,10),
(642,388,null,null,null,null),
(373,508,2021,1,1,10),
(374,508,2021,1,1,10),
(375,508,null,null,null,null),
(376,508,2021,1,1,10),
(377,508,null,null,null,null),
(378,508,null,null,null,null),
(639,508,2021,1,1,10),
(640,508,2021,1,1,10),
(641,508,2021,1,1,10),
(642,508,null,null,null,null),
(373,518,2021,1,1,10),
(374,518,2021,1,1,10),
(375,518,2021,1,1,10),
(376,518,null,null,null,null),
(377,518,2021,1,1,10),
(378,518,2021,1,1,10),
(639,518,null,null,null,null),
(640,518,2021,1,1,10),
(641,518,null,null,null,null),
(642,518,2021,1,1,10),
(373,638,2022,1,1,10),
(374,638,2022,1,1,10),
(375,638,2022,1,1,10),
(376,638,2022,1,1,10),
(377,638,null,null,null,null),
(378,638,2022,1,1,10),
(639,638,null,null,null,null),
(640,638,null,null,null,null),
(641,638,2022,1,1,10),
(642,638,2022,1,1,10),
(373,648,null,null,null,null),
(374,648,2022,1,1,10),
(375,648,null,null,null,null),
(376,648,2022,1,1,10),
(377,648,2022,1,1,10),
(378,648,2022,1,1,10),
(639,648,2022,1,1,10),
(640,648,null,null,null,null),
(641,648,null,null,null,null),
(642,648,2022,1,1,10),
(373,768,null,null,null,null),
(374,768,2023,1,1,10),
(375,768,2023,1,1,10),
(376,768,2023,1,1,10),
(377,768,2023,1,1,10),
(378,768,null,null,null,null),
(639,768,2023,1,1,10),
(640,768,2023,1,1,10),
(641,768,2023,1,1,10),
(642,768,2023,1,1,10),
(373,778,2023,1,1,10),
(374,778,null,null,null,null),
(375,778,2023,1,1,10),
(376,778,2023,1,1,10),
(377,778,2023,1,1,10),
(378,778,2023,1,1,10),
(639,778,null,null,null,null),
(640,778,2023,1,1,10),
(641,778,2023,1,1,10),
(642,778,2023,1,1,10),
(385,120,null,null,null,null),
(386,120,null,null,null,null),
(387,120,2018,1,1,10),
(388,120,null,null,null,null),
(389,120,2018,1,1,10),
(390,120,2018,1,1,10),
(647,120,2018,1,1,10),
(648,120,2018,1,1,10),
(649,120,null,null,null,null),
(650,120,null,null,null,null),
(385,130,null,null,null,null),
(386,130,null,null,null,null),
(387,130,2018,1,1,10),
(388,130,2018,1,1,10),
(389,130,2018,1,1,10),
(390,130,null,null,null,null),
(647,130,2018,1,1,10),
(648,130,null,null,null,null),
(649,130,null,null,null,null),
(650,130,null,null,null,null),
(385,250,2019,1,1,10),
(386,250,2019,1,1,10),
(387,250,2019,1,1,10),
(388,250,2019,1,1,10),
(389,250,null,null,null,null),
(390,250,null,null,null,null),
(647,250,2019,1,1,10),
(648,250,null,null,null,null),
(649,250,2019,1,1,10),
(650,250,null,null,null,null),
(385,260,2019,1,1,10),
(386,260,2019,1,1,10),
(387,260,null,null,null,null),
(388,260,null,null,null,null),
(389,260,2019,1,1,10),
(390,260,2019,1,1,10),
(647,260,null,null,null,null),
(648,260,2019,1,1,10),
(649,260,null,null,null,null),
(650,260,2019,1,1,10),
(385,380,2020,1,1,10),
(386,380,2020,1,1,10),
(387,380,null,null,null,null),
(388,380,2020,1,1,10),
(389,380,null,null,null,null),
(390,380,null,null,null,null),
(647,380,null,null,null,null),
(648,380,null,null,null,null),
(649,380,2020,1,1,10),
(650,380,null,null,null,null),
(385,390,2020,1,1,10),
(386,390,2020,1,1,10),
(387,390,2020,1,1,10),
(388,390,null,null,null,null),
(389,390,2020,1,1,10),
(390,390,null,null,null,null),
(647,390,null,null,null,null),
(648,390,null,null,null,null),
(649,390,null,null,null,null),
(650,390,null,null,null,null),
(385,510,2021,1,1,10),
(386,510,2021,1,1,10),
(387,510,null,null,null,null),
(388,510,null,null,null,null),
(389,510,null,null,null,null),
(390,510,2021,1,1,10),
(647,510,null,null,null,null),
(648,510,2021,1,1,10),
(649,510,2021,1,1,10),
(650,510,null,null,null,null),
(385,520,null,null,null,null),
(386,520,2021,1,1,10),
(387,520,2021,1,1,10),
(388,520,null,null,null,null),
(389,520,null,null,null,null),
(390,520,null,null,null,null),
(647,520,2021,1,1,10),
(648,520,null,null,null,null),
(649,520,null,null,null,null),
(650,520,2021,1,1,10),
(385,640,2022,1,1,10),
(386,640,null,null,null,null),
(387,640,2022,1,1,10),
(388,640,null,null,null,null),
(389,640,null,null,null,null),
(390,640,2022,1,1,10),
(647,640,2022,1,1,10),
(648,640,null,null,null,null),
(649,640,null,null,null,null),
(650,640,2022,1,1,10),
(385,650,null,null,null,null),
(386,650,null,null,null,null),
(387,650,2022,1,1,10),
(388,650,2022,1,1,10),
(389,650,2022,1,1,10),
(390,650,2022,1,1,10),
(647,650,2022,1,1,10),
(648,650,2022,1,1,10),
(649,650,2022,1,1,10),
(650,650,2022,1,1,10),
(385,770,2023,1,1,10),
(386,770,null,null,null,null),
(387,770,null,null,null,null),
(388,770,2023,1,1,10),
(389,770,2023,1,1,10),
(390,770,2023,1,1,10),
(647,770,2023,1,1,10),
(648,770,null,null,null,null),
(649,770,2023,1,1,10),
(650,770,2023,1,1,10),
(385,780,null,null,null,null),
(386,780,2023,1,1,10),
(387,780,2023,1,1,10),
(388,780,2023,1,1,10),
(389,780,2023,1,1,10),
(390,780,null,null,null,null),
(647,780,2023,1,1,10),
(648,780,null,null,null,null),
(649,780,null,null,null,null),
(650,780,2023,1,1,10),
(13,3,null,null,null,null),
(14,3,2018,1,1,10),
(15,3,2018,1,1,10),
(16,3,null,null,null,null),
(17,3,null,null,null,null),
(18,3,null,null,null,null),
(399,3,null,null,null,null),
(400,3,null,null,null,null),
(401,3,2018,1,1,10),
(402,3,null,null,null,null),
(13,12,2018,1,1,10),
(14,12,null,null,null,null),
(15,12,null,null,null,null),
(16,12,null,null,null,null),
(17,12,2018,1,1,10),
(18,12,null,null,null,null),
(399,12,null,null,null,null),
(400,12,2018,1,1,10),
(401,12,null,null,null,null),
(402,12,null,null,null,null),
(13,133,2019,1,1,10),
(14,133,2019,1,1,10),
(15,133,null,null,null,null),
(16,133,2019,1,1,10),
(17,133,2019,1,1,10),
(18,133,null,null,null,null),
(399,133,null,null,null,null),
(400,133,null,null,null,null),
(401,133,null,null,null,null),
(402,133,2019,1,1,10),
(13,142,null,null,null,null),
(14,142,2019,1,1,10),
(15,142,2019,1,1,10),
(16,142,2019,1,1,10),
(17,142,2019,1,1,10),
(18,142,2019,1,1,10),
(399,142,2019,1,1,10),
(400,142,null,null,null,null),
(401,142,null,null,null,null),
(402,142,null,null,null,null),
(13,263,2020,1,1,10),
(14,263,null,null,null,null),
(15,263,2020,1,1,10),
(16,263,2020,1,1,10),
(17,263,2020,1,1,10),
(18,263,2020,1,1,10),
(399,263,null,null,null,null),
(400,263,null,null,null,null),
(401,263,null,null,null,null),
(402,263,2020,1,1,10),
(13,272,2020,1,1,10),
(14,272,2020,1,1,10),
(15,272,2020,1,1,10),
(16,272,null,null,null,null),
(17,272,2020,1,1,10),
(18,272,null,null,null,null),
(399,272,null,null,null,null),
(400,272,null,null,null,null),
(401,272,2020,1,1,10),
(402,272,2020,1,1,10),
(13,393,null,null,null,null),
(14,393,null,null,null,null),
(15,393,2021,1,1,10),
(16,393,null,null,null,null),
(17,393,2021,1,1,10),
(18,393,null,null,null,null),
(399,393,null,null,null,null),
(400,393,2021,1,1,10),
(401,393,2021,1,1,10),
(402,393,null,null,null,null),
(13,402,null,null,null,null),
(14,402,2021,1,1,10),
(15,402,null,null,null,null),
(16,402,null,null,null,null),
(17,402,null,null,null,null),
(18,402,2021,1,1,10),
(399,402,2021,1,1,10),
(400,402,null,null,null,null),
(401,402,null,null,null,null),
(402,402,2021,1,1,10),
(13,523,null,null,null,null),
(14,523,null,null,null,null),
(15,523,2022,1,1,10),
(16,523,2022,1,1,10),
(17,523,null,null,null,null),
(18,523,2022,1,1,10),
(399,523,2022,1,1,10),
(400,523,2022,1,1,10),
(401,523,2022,1,1,10),
(402,523,null,null,null,null),
(13,532,null,null,null,null),
(14,532,2022,1,1,10),
(15,532,null,null,null,null),
(16,532,null,null,null,null),
(17,532,2022,1,1,10),
(18,532,null,null,null,null),
(399,532,null,null,null,null),
(400,532,null,null,null,null),
(401,532,2022,1,1,10),
(402,532,2022,1,1,10),
(13,653,null,null,null,null),
(14,653,2023,1,1,10),
(15,653,null,null,null,null),
(16,653,null,null,null,null),
(17,653,2023,1,1,10),
(18,653,null,null,null,null),
(399,653,2023,1,1,10),
(400,653,null,null,null,null),
(401,653,null,null,null,null),
(402,653,2023,1,1,10),
(13,662,2023,1,1,10),
(14,662,2023,1,1,10),
(15,662,null,null,null,null),
(16,662,null,null,null,null),
(17,662,2023,1,1,10),
(18,662,null,null,null,null),
(399,662,null,null,null,null),
(400,662,null,null,null,null),
(401,662,null,null,null,null),
(402,662,2023,1,1,10),
(19,4,2018,1,1,10),
(20,4,2018,1,1,10),
(21,4,2018,1,1,10),
(22,4,2018,1,1,10),
(23,4,2018,1,1,10),
(24,4,null,null,null,null),
(403,4,null,null,null,null),
(404,4,2018,1,1,10),
(405,4,null,null,null,null),
(406,4,null,null,null,null),
(19,13,2018,1,1,10),
(20,13,2018,1,1,10),
(21,13,2018,1,1,10),
(22,13,2018,1,1,10),
(23,13,null,null,null,null),
(24,13,null,null,null,null),
(403,13,null,null,null,null),
(404,13,2018,1,1,10),
(405,13,2018,1,1,10),
(406,13,null,null,null,null),
(19,134,null,null,null,null),
(20,134,null,null,null,null),
(21,134,2019,1,1,10),
(22,134,2019,1,1,10),
(23,134,2019,1,1,10),
(24,134,null,null,null,null),
(403,134,null,null,null,null),
(404,134,null,null,null,null),
(405,134,2019,1,1,10),
(406,134,null,null,null,null),
(19,143,null,null,null,null),
(20,143,null,null,null,null),
(21,143,2019,1,1,10),
(22,143,2019,1,1,10),
(23,143,2019,1,1,10),
(24,143,null,null,null,null),
(403,143,null,null,null,null),
(404,143,null,null,null,null),
(405,143,null,null,null,null),
(406,143,null,null,null,null),
(19,264,null,null,null,null),
(20,264,null,null,null,null),
(21,264,2020,1,1,10),
(22,264,2020,1,1,10),
(23,264,2020,1,1,10),
(24,264,null,null,null,null),
(403,264,null,null,null,null),
(404,264,2020,1,1,10),
(405,264,null,null,null,null),
(406,264,null,null,null,null),
(19,273,null,null,null,null),
(20,273,null,null,null,null),
(21,273,2020,1,1,10),
(22,273,null,null,null,null),
(23,273,null,null,null,null),
(24,273,null,null,null,null),
(403,273,2020,1,1,10),
(404,273,2020,1,1,10),
(405,273,2020,1,1,10),
(406,273,2020,1,1,10),
(19,394,2021,1,1,10),
(20,394,2021,1,1,10),
(21,394,null,null,null,null),
(22,394,2021,1,1,10),
(23,394,null,null,null,null),
(24,394,null,null,null,null),
(403,394,2021,1,1,10),
(404,394,2021,1,1,10),
(405,394,null,null,null,null),
(406,394,2021,1,1,10),
(19,403,null,null,null,null),
(20,403,null,null,null,null),
(21,403,null,null,null,null),
(22,403,2021,1,1,10),
(23,403,2021,1,1,10),
(24,403,null,null,null,null),
(403,403,null,null,null,null),
(404,403,null,null,null,null),
(405,403,null,null,null,null),
(406,403,2021,1,1,10),
(19,524,null,null,null,null),
(20,524,null,null,null,null),
(21,524,2022,1,1,10),
(22,524,null,null,null,null),
(23,524,null,null,null,null),
(24,524,null,null,null,null),
(403,524,null,null,null,null),
(404,524,2022,1,1,10),
(405,524,2022,1,1,10),
(406,524,null,null,null,null),
(19,533,null,null,null,null),
(20,533,null,null,null,null),
(21,533,2022,1,1,10),
(22,533,null,null,null,null),
(23,533,2022,1,1,10),
(24,533,2022,1,1,10),
(403,533,2022,1,1,10),
(404,533,null,null,null,null),
(405,533,null,null,null,null),
(406,533,2022,1,1,10),
(19,654,2023,1,1,10),
(20,654,null,null,null,null),
(21,654,null,null,null,null),
(22,654,2023,1,1,10),
(23,654,2023,1,1,10),
(24,654,2023,1,1,10),
(403,654,2023,1,1,10),
(404,654,null,null,null,null),
(405,654,2023,1,1,10),
(406,654,null,null,null,null),
(19,663,null,null,null,null),
(20,663,null,null,null,null),
(21,663,2023,1,1,10),
(22,663,null,null,null,null),
(23,663,2023,1,1,10),
(24,663,null,null,null,null),
(403,663,null,null,null,null),
(404,663,null,null,null,null),
(405,663,2023,1,1,10),
(406,663,null,null,null,null),
(31,6,2018,1,1,10),
(32,6,null,null,null,null),
(33,6,2018,1,1,10),
(34,6,null,null,null,null),
(35,6,null,null,null,null),
(36,6,null,null,null,null),
(411,6,2018,1,1,10),
(412,6,2018,1,1,10),
(413,6,null,null,null,null),
(414,6,2018,1,1,10),
(31,15,2018,1,1,10),
(32,15,null,null,null,null),
(33,15,null,null,null,null),
(34,15,2018,1,1,10),
(35,15,2018,1,1,10),
(36,15,2018,1,1,10),
(411,15,null,null,null,null),
(412,15,null,null,null,null),
(413,15,null,null,null,null),
(414,15,null,null,null,null),
(31,136,null,null,null,null),
(32,136,null,null,null,null),
(33,136,2019,1,1,10),
(34,136,2019,1,1,10),
(35,136,null,null,null,null),
(36,136,null,null,null,null),
(411,136,null,null,null,null),
(412,136,null,null,null,null),
(413,136,null,null,null,null),
(414,136,2019,1,1,10),
(31,145,null,null,null,null),
(32,145,2019,1,1,10),
(33,145,null,null,null,null),
(34,145,null,null,null,null),
(35,145,2019,1,1,10),
(36,145,null,null,null,null),
(411,145,null,null,null,null),
(412,145,2019,1,1,10),
(413,145,2019,1,1,10),
(414,145,2019,1,1,10),
(31,266,null,null,null,null),
(32,266,2020,1,1,10),
(33,266,2020,1,1,10),
(34,266,2020,1,1,10),
(35,266,null,null,null,null),
(36,266,2020,1,1,10),
(411,266,null,null,null,null),
(412,266,null,null,null,null),
(413,266,2020,1,1,10),
(414,266,2020,1,1,10),
(31,275,2020,1,1,10),
(32,275,2020,1,1,10),
(33,275,null,null,null,null),
(34,275,2020,1,1,10),
(35,275,null,null,null,null),
(36,275,null,null,null,null),
(411,275,2020,1,1,10),
(412,275,null,null,null,null),
(413,275,null,null,null,null),
(414,275,2020,1,1,10),
(31,396,2021,1,1,10),
(32,396,null,null,null,null),
(33,396,2021,1,1,10),
(34,396,null,null,null,null),
(35,396,2021,1,1,10),
(36,396,null,null,null,null),
(411,396,2021,1,1,10),
(412,396,null,null,null,null),
(413,396,null,null,null,null),
(414,396,2021,1,1,10),
(31,405,2021,1,1,10),
(32,405,2021,1,1,10),
(33,405,null,null,null,null),
(34,405,2021,1,1,10),
(35,405,2021,1,1,10),
(36,405,null,null,null,null),
(411,405,null,null,null,null),
(412,405,2021,1,1,10),
(413,405,2021,1,1,10),
(414,405,2021,1,1,10),
(31,526,null,null,null,null),
(32,526,2022,1,1,10),
(33,526,null,null,null,null),
(34,526,2022,1,1,10),
(35,526,2022,1,1,10),
(36,526,2022,1,1,10),
(411,526,2022,1,1,10),
(412,526,null,null,null,null),
(413,526,2022,1,1,10),
(414,526,null,null,null,null),
(31,535,null,null,null,null),
(32,535,2022,1,1,10),
(33,535,2022,1,1,10),
(34,535,2022,1,1,10),
(35,535,null,null,null,null),
(36,535,2022,1,1,10),
(411,535,2022,1,1,10),
(412,535,2022,1,1,10),
(413,535,2022,1,1,10),
(414,535,2022,1,1,10),
(31,656,2023,1,1,10),
(32,656,2023,1,1,10),
(33,656,null,null,null,null),
(34,656,2023,1,1,10),
(35,656,2023,1,1,10),
(36,656,2023,1,1,10),
(411,656,null,null,null,null),
(412,656,2023,1,1,10),
(413,656,null,null,null,null),
(414,656,2023,1,1,10),
(31,665,null,null,null,null),
(32,665,2023,1,1,10),
(33,665,2023,1,1,10),
(34,665,null,null,null,null),
(35,665,null,null,null,null),
(36,665,null,null,null,null),
(411,665,null,null,null,null),
(412,665,null,null,null,null),
(413,665,null,null,null,null),
(414,665,2023,1,1,10),
(67,21,2018,1,1,10),
(68,21,2018,1,1,10),
(69,21,null,null,null,null),
(70,21,null,null,null,null),
(71,21,null,null,null,null),
(72,21,null,null,null,null),
(435,21,2018,1,1,10),
(436,21,null,null,null,null),
(437,21,2018,1,1,10),
(438,21,null,null,null,null),
(67,32,2018,1,1,10),
(68,32,2018,1,1,10),
(69,32,2018,1,1,10),
(70,32,2018,1,1,10),
(71,32,2018,1,1,10),
(72,32,2018,1,1,10),
(435,32,null,null,null,null),
(436,32,2018,1,1,10),
(437,32,2018,1,1,10),
(438,32,null,null,null,null),
(67,151,2019,1,1,10),
(68,151,2019,1,1,10),
(69,151,null,null,null,null),
(70,151,2019,1,1,10),
(71,151,2019,1,1,10),
(72,151,null,null,null,null),
(435,151,null,null,null,null),
(436,151,2019,1,1,10),
(437,151,null,null,null,null),
(438,151,null,null,null,null),
(67,162,2019,1,1,10),
(68,162,null,null,null,null),
(69,162,null,null,null,null),
(70,162,null,null,null,null),
(71,162,2019,1,1,10),
(72,162,null,null,null,null),
(435,162,2019,1,1,10),
(436,162,2019,1,1,10),
(437,162,null,null,null,null),
(438,162,2019,1,1,10),
(67,281,2020,1,1,10),
(68,281,2020,1,1,10),
(69,281,2020,1,1,10),
(70,281,null,null,null,null),
(71,281,null,null,null,null),
(72,281,null,null,null,null),
(435,281,2020,1,1,10),
(436,281,2020,1,1,10),
(437,281,2020,1,1,10),
(438,281,null,null,null,null),
(67,292,null,null,null,null),
(68,292,2020,1,1,10),
(69,292,null,null,null,null),
(70,292,2020,1,1,10),
(71,292,2020,1,1,10),
(72,292,2020,1,1,10),
(435,292,2020,1,1,10),
(436,292,null,null,null,null),
(437,292,null,null,null,null),
(438,292,null,null,null,null),
(67,411,2021,1,1,10),
(68,411,null,null,null,null),
